url|Location|Surface
https://www.tennisexplorer.com/gran-canaria-challenger|Gran Canaria challenger|clay
https://www.tennisexplorer.com/turin-challenger|Turin challenger|clay
https://www.tennisexplorer.com/utr-pro-match-series|UTR Pro Match Series|Varioussurfaces
https://www.tennisexplorer.com/utr-pro-tennis-series-5|UTR Pro Tennis Series 5|Varioussurfaces
https://www.tennisexplorer.com/davis-cup|Davis Cup|Varioussurfaces
https://www.tennisexplorer.com/monterrey-challenger|Monterrey challenger|hard
https://www.tennisexplorer.com/roseto-degli-abruzzi-chall|Roseto Degli Abruzzi chall.|clay
https://www.tennisexplorer.com/santiago-challenger|Santiago challenger|clay
https://www.tennisexplorer.com/indian-wells|Indian Wells|hard
https://www.tennisexplorer.com/concepcion-2-challenger|Concepcion 2 challenger|clay
https://www.tennisexplorer.com/roseto-degli-abruzzi-2-chall|Roseto Degli Abruzzi 2 chall.|clay
https://www.tennisexplorer.com/phoenix-challenger|Phoenix challenger|hard
https://www.tennisexplorer.com/biel-challenger|Biel challenger|indoors
https://www.tennisexplorer.com/lille-challenger|Lille challenger|indoors
https://www.tennisexplorer.com/santa-cruz-2-challenger|Santa Cruz 2 challenger|clay
https://www.tennisexplorer.com/zadar-challenger|Zadar challenger|clay
https://www.tennisexplorer.com/miami|Miami|hard
https://www.tennisexplorer.com/lugano-challenger|Lugano challenger|indoors
https://www.tennisexplorer.com/marbella-challenger|Marbella challenger|clay
https://www.tennisexplorer.com/oeiras-challenger|Oeiras challenger|clay
https://www.tennisexplorer.com/pereira-challenger|Pereira challenger|clay
https://www.tennisexplorer.com/saint-brieuc-challenger|Saint Brieuc challenger|indoors
https://www.tennisexplorer.com/utr-pro-tennis-series-7|UTR Pro Tennis Series 7|Varioussurfaces
https://www.tennisexplorer.com/atp-cup|ATP Cup|hard
https://www.tennisexplorer.com/doha|Doha|hard
https://www.tennisexplorer.com/canberra-challenger|Canberra challenger|hard
https://www.tennisexplorer.com/noumea-challenger|Noumea challenger|hard
https://www.tennisexplorer.com/ann-arbor-challenger|Ann Arbor challenger|indoors
https://www.tennisexplorer.com/auckland|Auckland|hard
https://www.tennisexplorer.com/adelaide|Adelaide|hard
https://www.tennisexplorer.com/bangkok-2-challenger|Bangkok 2 challenger|hard
https://www.tennisexplorer.com/bendigo-challenger|Bendigo challenger|hard
https://www.tennisexplorer.com/kooyong-exh|Kooyong - exh.|hard
https://www.tennisexplorer.com/australian-open|Australian Open|hard
https://www.tennisexplorer.com/bangkok-3-challenger|Bangkok 3 challenger|hard
https://www.tennisexplorer.com/rennes-challenger|Rennes challenger|indoors
https://www.tennisexplorer.com/newport-beach-challenger|Newport Beach challenger|hard
https://www.tennisexplorer.com/burnie-challenger|Burnie challenger|hard
https://www.tennisexplorer.com/punta-del-este-challenger|Punta del Este challenger|clay
https://www.tennisexplorer.com/quimper-challenger|Quimper challenger|indoors
https://www.tennisexplorer.com/cordoba|Cordoba|clay
https://www.tennisexplorer.com/pune|Pune|hard
https://www.tennisexplorer.com/launceston-challenger|Launceston challenger|hard
https://www.tennisexplorer.com/montpellier|Montpellier|indoors
https://www.tennisexplorer.com/dallas-challenger|Dallas challenger|indoors
https://www.tennisexplorer.com/buenos-aires|Buenos Aires|clay
https://www.tennisexplorer.com/rotterdam|Rotterdam|indoors
https://www.tennisexplorer.com/cherbourg-challenger|Cherbourg challenger|indoors
https://www.tennisexplorer.com/new-york|New York|indoors
https://www.tennisexplorer.com/bangalore-challenger|Bangalore challenger|hard
https://www.tennisexplorer.com/cleveland-challenger|Cleveland challenger|indoors
https://www.tennisexplorer.com/delray-beach-seniors|Delray Beach - seniors|hard
https://www.tennisexplorer.com/delray-beach|Delray Beach|hard
https://www.tennisexplorer.com/rio-de-janeiro|Rio de Janeiro|clay
https://www.tennisexplorer.com/drummondville-challenger|Drummondville challenger|indoors
https://www.tennisexplorer.com/marseille|Marseille|indoors
https://www.tennisexplorer.com/morelos-challenger|Morelos challenger|hard
https://www.tennisexplorer.com/bergamo-challenger|Bergamo challenger|indoors
https://www.tennisexplorer.com/koblenz-challenger|Koblenz challenger|indoors
https://www.tennisexplorer.com/acapulco|Acapulco|hard
https://www.tennisexplorer.com/dubai|Dubai|hard
https://www.tennisexplorer.com/santiago|Santiago|clay
https://www.tennisexplorer.com/pau-challenger|Pau challenger|indoors
https://www.tennisexplorer.com/calgary-challenger|Calgary challenger|indoors
https://www.tennisexplorer.com/columbus-challenger|Columbus challenger|indoors
https://www.tennisexplorer.com/indian-wells-challenger|Indian Wells challenger|hard
https://www.tennisexplorer.com/nur-sultan-challenger|Nur-Sultan challenger|indoors
https://www.tennisexplorer.com/potchefstroom-challenger|Potchefstroom challenger|hard
https://www.tennisexplorer.com/guadalajara-2-wta|Guadalajara 2 WTA|hard
https://www.tennisexplorer.com/monastir|Monastir|hard
https://www.tennisexplorer.com/szczecin-challenger|Szczecin challenger|clay
https://www.tennisexplorer.com/guangzhou-2-challenger|Guangzhou 2 challenger|hard
https://www.tennisexplorer.com/las-vegas-challenger|Las Vegas challenger|hard
https://www.tennisexplorer.com/dobrich-2-challenger|Dobrich 2 challenger|clay
https://www.tennisexplorer.com/bucharest-2-wta|Bucharest 2 WTA|clay
https://www.tennisexplorer.com/ljubljana-wta|Ljubljana WTA|clay
https://www.tennisexplorer.com/burswood-itf|Burswood ITF|hard
https://www.tennisexplorer.com/le-neubourg-itf|Le Neubourg ITF|hard
https://www.tennisexplorer.com/guiyang-itf|Guiyang ITF|hard
https://www.tennisexplorer.com/leme-itf|Leme ITF|clay
https://www.tennisexplorer.com/punta-cana-2-itf|Punta Cana 2 ITF|clay
https://www.tennisexplorer.com/reus-itf|Reus ITF|clay
https://www.tennisexplorer.com/santarem-itf|Santarem ITF|hard
https://www.tennisexplorer.com/utr-pro-tennis-series-9|UTR Pro Tennis Series 9|Varioussurfaces
https://www.tennisexplorer.com/dijon-2-itf|Dijon 2 ITF|clay
https://www.tennisexplorer.com/kursumlijska-banja-21-itf|Kursumlijska Banja 21 ITF|clay
https://www.tennisexplorer.com/monastir-53-itf|Monastir 53 ITF|hard
https://www.tennisexplorer.com/singapore-itf|Singapore ITF|indoors
https://www.tennisexplorer.com/international-tennis-series|International Tennis Series|hard
https://www.tennisexplorer.com/tennis-point-exhibition-series|Tennis Point Exhibition Series|clay
https://www.tennisexplorer.com/marbello-exhibition-series|Marbello Exhibition Series|clay
https://www.tennisexplorer.com/tennis-point-exhibition-series-2|Tennis Point Exhibition Series 2|clay
https://www.tennisexplorer.com/tennis-point-exhibition-series-3|Tennis Point Exhibition Series 3|clay
https://www.tennisexplorer.com/tennis-point-exhibition-series-4|Tennis Point Exhibition Series 4|clay
https://www.tennisexplorer.com/tennis-point-series-usa|Tennis Point Series (USA)|hard
https://www.tennisexplorer.com/friendship-cup|Friendship Cup|clay
https://www.tennisexplorer.com/tennis-point-exhibition-series-5|Tennis Point Exhibition Series 5|clay
https://www.tennisexplorer.com/budapest-kupa-exhibition-series|Budapest Kupa Exhibition Series|clay
https://www.tennisexplorer.com/tennis-point-series-2-usa|Tennis Point Series 2 (USA)|hard
https://www.tennisexplorer.com/sk-soccer-cup|SK Soccer Cup|clay
https://www.tennisexplorer.com/cze-ta-president-s-cup|CZE TA President's Cup|clay
https://www.tennisexplorer.com/grand-slam-tennis-tours-matchplay|Grand Slam Tennis Tours MatchPlay|hard
https://www.tennisexplorer.com/austrian-pro-series|Austrian Pro Series|clay
https://www.tennisexplorer.com/tennis-point-exhibition-series-6|Tennis Point Exhibition Series 6|clay
https://www.tennisexplorer.com/utr-leschly-challenge|UTR Leschly Challenge|clay
https://www.tennisexplorer.com/east-coast-pro-series|East Coast Pro Series|clay
https://www.tennisexplorer.com/west-coast-pro-series|West Coast Pro Series|clay
https://www.tennisexplorer.com/baltic-tennis-league|Baltic Tennis League|Varioussurfaces
https://www.tennisexplorer.com/new-zealand-premier-league|New Zealand Premier League|clay
https://www.tennisexplorer.com/tennis-point-exhibition-series-7|Tennis Point Exhibition Series 7|Varioussurfaces
https://www.tennisexplorer.com/valencia-challenge|Valencia challenge|clay
https://www.tennisexplorer.com/adriatic-tennis-series|Adriatic Tennis Series|clay
https://www.tennisexplorer.com/european-pro-tennis-series|European Pro Tennis Series|hard
https://www.tennisexplorer.com/tpg-exhibition-series|TPG Exhibition Series|clay
https://www.tennisexplorer.com/dtb-german-pro-series|DTB German Pro Series|clay
https://www.tennisexplorer.com/utf-invitational|UTF Invitational|clay
https://www.tennisexplorer.com/tennis-point-exhibition-series-8|Tennis Point Exhibition Series 8|clay
https://www.tennisexplorer.com/battle-of-bradenton|Battle of Bradenton|Varioussurfaces
https://www.tennisexplorer.com/top-league-cts|Top League CTS|clay
https://www.tennisexplorer.com/adria-tour-2|Adria Tour 2|clay
https://www.tennisexplorer.com/ultimate-tennis-showdown|Ultimate Tennis Showdown|hard
https://www.tennisexplorer.com/eastern-european-championship|Eastern European Championship|clay
https://www.tennisexplorer.com/bratislava-open|Bratislava Open|clay
https://www.tennisexplorer.com/polish-national-tour|Polish National Tour|clay
https://www.tennisexplorer.com/swedish-summer-tour|Swedish Summer Tour|clay
https://www.tennisexplorer.com/adria-tour-3|Adria Tour 3|clay
https://www.tennisexplorer.com/campionati-italiani-assoluti|Campionati Italiani Assoluti|clay
https://www.tennisexplorer.com/fpt-portugal-series|FPT Portugal Series|hard
https://www.tennisexplorer.com/macha-lake-open|Macha Lake Open|clay
https://www.tennisexplorer.com/battle-of-the-brits|Battle of the Brits|indoors
https://www.tennisexplorer.com/israel-national-tennis-tour|Israel National Tennis Tour|hard
https://www.tennisexplorer.com/tennisportalen-open|Tennisportalen Open|clay
https://www.tennisexplorer.com/utr-pro-tennis-series|UTR Pro Tennis Series|hard
https://www.tennisexplorer.com/italian-national-tour|Italian National Tour|clay
https://www.tennisexplorer.com/altec-styslinger-tennis-exhibition|Altec Styslinger Tennis Exhibition|clay
https://www.tennisexplorer.com/fpt-portugal-series-2|FPT Portugal Series 2|hard
https://www.tennisexplorer.com/austrian-championship|Austrian Championship|clay
https://www.tennisexplorer.com/national-tennis-tour-switzerland|National Tennis Tour Switzerland|Varioussurfaces
https://www.tennisexplorer.com/allamerican-team-cup|AllAmerican Team Cup|hard
https://www.tennisexplorer.com/british-tour|British Tour|indoors
https://www.tennisexplorer.com/cup-of-friendship|Cup of Friendship|clay
https://www.tennisexplorer.com/swiss-masters|Swiss Masters|clay
https://www.tennisexplorer.com/otv-challenge-series|ÖTV Challenge Series|clay
https://www.tennisexplorer.com/british-tour-2|British Tour 2|indoors
https://www.tennisexplorer.com/challenge-elite-fft|Challenge Elite FFT|hard
https://www.tennisexplorer.com/polish-national-tour-2|Polish National Tour 2|Varioussurfaces
https://www.tennisexplorer.com/fpt-portugal-series-3|FPT Portugal Series 3|hard
https://www.tennisexplorer.com/austrian-young-guns|Austrian Young Guns|hard
https://www.tennisexplorer.com/tennis-point-exhibition-series-9|Tennis Point Exhibition Series 9|clay
https://www.tennisexplorer.com/thiem-s-seven|Thiem's Seven|clay
https://www.tennisexplorer.com/british-tour-3|British Tour 3|indoors
https://www.tennisexplorer.com/privatbanka-open|Privatbanka Open|clay
https://www.tennisexplorer.com/tie-break-cup-zermatt|Tie-Break Cup Zermatt|Varioussurfaces
https://www.tennisexplorer.com/liga-mapfre-de-tenis|Liga MAPFRE de Tenis|clay
https://www.tennisexplorer.com/world-teamtennis|World TeamTennis|hard
https://www.tennisexplorer.com/bett1-aces|bett1 Aces|grass
https://www.tennisexplorer.com/otv-challenge-series-2|ÖTV Challenge Series 2|clay
https://www.tennisexplorer.com/challenge-elite-fft-2|Challenge Elite FFT 2|hard
https://www.tennisexplorer.com/uk-pro-series|UK Pro Series|indoors
https://www.tennisexplorer.com/fpt-portugal-series-4|FPT Portugal Series 4|hard
https://www.tennisexplorer.com/moravia-open|Moravia Open|clay
https://www.tennisexplorer.com/national-championship|National Championship|clay
https://www.tennisexplorer.com/tennis-point-exhibition-series-10|Tennis Point Exhibition Series 10|clay
https://www.tennisexplorer.com/liga-mapfre-de-tenis-2|Liga MAPFRE de Tenis 2|clay
https://www.tennisexplorer.com/bett|Bett|indoors
https://www.tennisexplorer.com/liga-mapfre-de-tenis-3|Liga MAPFRE de Tenis 3|clay
https://www.tennisexplorer.com/basel-open|Basel Open|Varioussurfaces
https://www.tennisexplorer.com/british-tour-4|British Tour 4|indoors
https://www.tennisexplorer.com/otv-challenge-series-3|ÖTV Challenge Series 3|clay
https://www.tennisexplorer.com/challenge-elite-fft-3|Challenge Elite FFT 3|hard
https://www.tennisexplorer.com/uk-pro-series-2|UK Pro Series 2|indoors
https://www.tennisexplorer.com/gp-de-la-gruyere|GP de la Gruyere|Varioussurfaces
https://www.tennisexplorer.com/tennis-point-exhibition-series-11|Tennis Point Exhibition Series 11|clay
https://www.tennisexplorer.com/liga-mapfre-de-tenis-4|Liga MAPFRE de Tenis 4|clay
https://www.tennisexplorer.com/british-tour-5|British Tour 5|indoors
https://www.tennisexplorer.com/hsc-cup-piestany|HSC Cup Piestany|clay
https://www.tennisexplorer.com/securitas-pro-cup|Securitas Pro Cup|indoors
https://www.tennisexplorer.com/polish-national-tour-3|Polish National Tour 3|clay
https://www.tennisexplorer.com/ultimate-tennis-showdown-2|Ultimate Tennis Showdown 2|hard
https://www.tennisexplorer.com/international-premier-league|International Premier League|clay
https://www.tennisexplorer.com/otv-challenge-series-4|ÖTV Challenge Series 4|clay
https://www.tennisexplorer.com/battle-of-the-brits-2|Battle of the Brits 2|hard
https://www.tennisexplorer.com/uk-pro-series-3|UK Pro Series 3|indoors
https://www.tennisexplorer.com/svijany-open|Svijany Open|clay
https://www.tennisexplorer.com/liga-mapfre-de-tenis-5|Liga MAPFRE de Tenis 5|clay
https://www.tennisexplorer.com/merko-cup|Merko Cup|hard
https://www.tennisexplorer.com/polish-national-tour-4|Polish National Tour 4|clay
https://www.tennisexplorer.com/zilina|Zilina|clay
https://www.tennisexplorer.com/uk-pro-series-4|UK Pro Series 4|indoors
https://www.tennisexplorer.com/tipsport-elite-trophy|Tipsport Elite Trophy|clay
https://www.tennisexplorer.com/uk-pro-series-5|UK Pro Series 5|indoors
https://www.tennisexplorer.com/prague-2-challenger|Prague 2 challenger|clay
https://www.tennisexplorer.com/polish-national-tour-5|Polish National Tour 5|clay
https://www.tennisexplorer.com/todi-challenger|Todi challenger|clay
https://www.tennisexplorer.com/polish-national-tour-6|Polish National Tour 6|clay
https://www.tennisexplorer.com/cincinnati-masters-new-york|Cincinnati Masters (New York)|hard
https://www.tennisexplorer.com/british-tour-6|British Tour 6|indoors
https://www.tennisexplorer.com/finnish-tennis-tour|Finnish Tennis Tour|clay
https://www.tennisexplorer.com/prague-3-challenger|Prague 3 challenger|clay
https://www.tennisexplorer.com/trieste-challenger|Trieste challenger|clay
https://www.tennisexplorer.com/atlanta-open|Atlanta Open|hard
https://www.tennisexplorer.com/peugeot-tennis-tour|Peugeot Tennis Tour|clay
https://www.tennisexplorer.com/british-tour-7|British Tour 7|indoors
https://www.tennisexplorer.com/cordenons-challenger|Cordenons challenger|clay
https://www.tennisexplorer.com/ostrava-challenger|Ostrava challenger|clay
https://www.tennisexplorer.com/us-open|US Open|hard
https://www.tennisexplorer.com/british-tour-8|British Tour 8|indoors
https://www.tennisexplorer.com/aix-en-provence-challenger|Aix en Provence challenger|clay
https://www.tennisexplorer.com/prostejov-challenger|Prostejov challenger|clay
https://www.tennisexplorer.com/kitzbuhel|Kitzbühel|clay
